.VERSION 1.0
.INCLUDE aga/data/mlssdrry.dat
.SEGMENT CHARACTER 11-12 ? "G" 
.SEGMENT CHARACTER 22 ? "L" 
.SEGMENT CHARACTER 23 ? "M" 
.SEGMENT CHARACTER 24 ? "N" 
.SEGMENT CHARACTER 25 ? "O" 
.SEGMENT CHARACTER 26 ? "P" 
.SEGMENT CHARACTER 29 ? "R" 
.SEGMENT CHARACTER 34 ? "V" 
.SEGMENT CHARACTER 35 ? "W" 
.SEGMENT CHARACTER 38-39 ? "Y" 
.SEGMENT CHARACTER 40-41 ? "Z" 
.SEGMENT CHARACTER 43 ? "b" 
.SEGMENT CHARACTER 44 ? "c" 
.SEGMENT CHARACTER 45 ? "d" 
.SEGMENT CHARACTER 46 ? "e" 
.SEGMENT CHARACTER 50 ? "h" 
.SEGMENT CHARACTER 55-57 ? "k" 
.SEGMENT CHARACTER 61 ? "o" 
.SEGMENT CHARACTER 62 ? "p" 
.SEGMENT CHARACTER 70 ? "w" 
.SEGMENT CHARACTER 71-72 ? "x" 
.SEGMENT CHARACTER 74-75 ? "z" 
.SEGMENT CHARACTER 80-81 ? "4" 
.SEGMENT CHARACTER 85 ? "7" 
.SEGMENT CHARACTER 87 ? "9" 
.SEGMENT CHARACTER 91 ? "-" 
.SEGMENT CHARACTER 92-93 ? ";" 
.SEGMENT CHARACTER 94-95 ? ":" 
.SEGMENT CHARACTER 98-99 ? "B" 
.SEGMENT CHARACTER 100 ? "C" 
.SEGMENT CHARACTER 101-102 ? "D" 
.SEGMENT CHARACTER 103-105 ? "E" 
.SEGMENT CHARACTER 106-108 ? "F" 
.SEGMENT CHARACTER 111-113 ? "H" 
.SEGMENT CHARACTER 114 ? "I" 
.SEGMENT CHARACTER 120 ? "M" 
.SEGMENT CHARACTER 121 ? "N" 
.SEGMENT CHARACTER 123 ? "P" 
.SEGMENT CHARACTER 126 ? "R" 
.SEGMENT CHARACTER 127 ? "S" 
.SEGMENT CHARACTER 128-129 ? "T" 
.SEGMENT CHARACTER 130 ? "U" 
.SEGMENT CHARACTER 132 ? "W" 
.SEGMENT CHARACTER 135-136 ? "Y" 
.SEGMENT CHARACTER 139 ? "a" 
.SEGMENT CHARACTER 141 ? "c" 
.SEGMENT CHARACTER 143 ? "e" 
.SEGMENT CHARACTER 147 ? "h" 
.SEGMENT CHARACTER 150-151 ? "j" 
.SEGMENT CHARACTER 157 ? "n" 
.SEGMENT CHARACTER 159 ? "p" 
.SEGMENT CHARACTER 160 ? "q" 
.SEGMENT CHARACTER 162 ? "s" 
.SEGMENT CHARACTER 165 ? "u" 
.SEGMENT CHARACTER 166 ? "v" 
.SEGMENT CHARACTER 167 ? "w" 
.SEGMENT CHARACTER 168-169 ? "x" 
.SEGMENT CHARACTER 170 ? "y" 
.SEGMENT CHARACTER 171-172 ? "z" 
.SEGMENT CHARACTER 175 ? "2" 
.SEGMENT CHARACTER 177-178 ? "4" 
.SEGMENT CHARACTER 179-180 ? "5" 
.SEGMENT CHARACTER 182-183 ? "7" 
.SEGMENT CHARACTER 184 ? "8" 
.SEGMENT CHARACTER 185 ? "9" 
.SEGMENT CHARACTER 186 ? "." 
.SEGMENT CHARACTER 187 ? "," 
.SEGMENT CHARACTER 194-195 ? "A" 
.SEGMENT CHARACTER 197 ? "C" 
.SEGMENT CHARACTER 200-202 ? "E" 
.SEGMENT CHARACTER 208-210 ? "H" 
.SEGMENT CHARACTER 211 ? "I" 
.SEGMENT CHARACTER 214-216 ? "K" 
.SEGMENT CHARACTER 217 ? "L" 
.SEGMENT CHARACTER 219 ? "N" 
.SEGMENT CHARACTER 220 ? "O" 
.SEGMENT CHARACTER 221 ? "P" 
.SEGMENT CHARACTER 222-223 ? "Q" 
.SEGMENT CHARACTER 224 ? "R" 
.SEGMENT CHARACTER 225 ? "S" 
.SEGMENT CHARACTER 226-227 ? "T" 
.SEGMENT CHARACTER 228 ? "U" 
.SEGMENT CHARACTER 230 ? "W" 
.SEGMENT CHARACTER 235-236 ? "Z" 
.SEGMENT CHARACTER 238 ? "b" 
.SEGMENT CHARACTER 242-243 ? "f" 
