.VERSION 1.0
.INCLUDE aga/data/annzchrl.dat
.SEGMENT CHARACTER 77 ? "1" 
.SEGMENT CHARACTER 79 ? "3" 
.SEGMENT CHARACTER 80-81 ? "4" 
.SEGMENT CHARACTER 82-83 ? "5" 
.SEGMENT CHARACTER 84 ? "6" 
.SEGMENT CHARACTER 86 ? "8" 
.SEGMENT CHARACTER 172 ? "0" 
.SEGMENT CHARACTER 173 ? "1" 
.SEGMENT CHARACTER 174 ? "2" 
.SEGMENT CHARACTER 175 ? "3" 
.SEGMENT CHARACTER 180 ? "6" 
.SEGMENT CHARACTER 182 ? "8" 
.SEGMENT CHARACTER 183 ? "9" 
.SEGMENT CHARACTER 267 ? "0" 
.SEGMENT CHARACTER 270 ? "3" 
.SEGMENT CHARACTER 275 ? "6" 
.SEGMENT CHARACTER 278 ? "9" 
.SEGMENT CHARACTER 362 ? "3" 
.SEGMENT CHARACTER 363-364 ? "4" 
.SEGMENT CHARACTER 368 ? "7" 
.SEGMENT CHARACTER 455 ? "1" 
.SEGMENT CHARACTER 456 ? "2" 
.SEGMENT CHARACTER 458-459 ? "4" 
.SEGMENT CHARACTER 460-461 ? "5" 
.SEGMENT CHARACTER 463 ? "7" 
.SEGMENT CHARACTER 464 ? "8" 
.SEGMENT CHARACTER 465 ? "9" 
.SEGMENT CHARACTER 550 ? "1" 
.SEGMENT CHARACTER 553-554 ? "4" 
.SEGMENT CHARACTER 555-556 ? "5" 
.SEGMENT CHARACTER 557 ? "6" 
.SEGMENT CHARACTER 558 ? "7" 
.SEGMENT CHARACTER 559 ? "8" 
