.VERSION 1.0
.INCLUDE apa/app.doc
.INCLUDE apa/data/apa09/app0946.dat
.SEGMENT CHARACTER 0 ? "o"
.SEGMENT CHARACTER 1 ? "v"
.SEGMENT CHARACTER 2 ? "e"
.SEGMENT CHARACTER 3 ? "r"
.SEGMENT CHARACTER 4-5 ? "t"
.SEGMENT CHARACTER 6 ? "h"
.SEGMENT CHARACTER 7 ? "e"
.SEGMENT CHARACTER 8 ? "l"
.SEGMENT CHARACTER 9 ? "a"
.SEGMENT CHARACTER 10 ? "z"
.SEGMENT CHARACTER 11 ? "y"
.SEGMENT CHARACTER 12 ? "b"
.SEGMENT CHARACTER 13 ? "l"
.SEGMENT CHARACTER 14 ? "a"
.SEGMENT CHARACTER 15 ? "c"
.SEGMENT CHARACTER 16 ? "k"
.SEGMENT CHARACTER 17 ? "d"
.SEGMENT CHARACTER 18 ? "o"
.SEGMENT CHARACTER 19 ? "g"
