.VERSION 1.0
.INCLUDE apa/app.doc
.INCLUDE apa/data/apa04/app0470.dat
.SEGMENT CHARACTER 0 ? "e"
.SEGMENT CHARACTER 1 ? "a"
.SEGMENT CHARACTER 2 ? "s"
.SEGMENT CHARACTER 3 ? "e"
.SEGMENT CHARACTER 4 ? "l"
.SEGMENT CHARACTER 5 ? ","
.SEGMENT CHARACTER 6 ? "a"
.SEGMENT CHARACTER 7 ? "n"
.SEGMENT CHARACTER 8 ? "d"
.SEGMENT CHARACTER 9 ? "a"
.SEGMENT CHARACTER 10-11 ? "t"
.SEGMENT CHARACTER 12-13 ? "i"
.SEGMENT CHARACTER 14 ? "n"
.SEGMENT CHARACTER 15 ? "y"
.SEGMENT CHARACTER 16 ? "u"
.SEGMENT CHARACTER 17 ? "n"
.SEGMENT CHARACTER 18 ? "m"
.SEGMENT CHARACTER 19 ? "a"
.SEGMENT CHARACTER 20 ? "d"
.SEGMENT CHARACTER 21 ? "e"
